Designator,Mid X,Mid Y,Layer,Rotation
R147,89.499999mm,40.599993mm,Bottom,270.0
R146,58.849999mm,30.699993mm,Bottom,90.0
R141,61.399999mm,55.449993000000006mm,Bottom,180.0
U102,68.684499mm,35.985593mm,Bottom,270.0
R109,90.89999900000001mm,51.449993000000006mm,Bottom,180.0
R108,56.060598999999996mm,50.225393mm,Bottom,0.0
Q103,90.526599mm,50.337993mm,Top,0.0
Q102,90.571299mm,48.304193mm,Bottom,270.0
Q101,52.549999mm,51.444993mm,Bottom,270.0
Q100,55.899999mm,52.504993mm,Bottom,90.0
L100,59.299999mm,50.599993mm,Bottom,180.0
F100,91.19999899999999mm,42.449993mm,Bottom,90.0
C120,65.199999mm,36.099993mm,Bottom,90.0
C107,66.503599mm,35.999993mm,Bottom,270.0
C106,70.797399mm,36.981693mm,Bottom,90.0
U110,58.199999mm,45.799993mm,Bottom,0.0
R145,61.599999mm,48.699993mm,Bottom,180.0
R144,59.599999mm,48.699993mm,Bottom,0.0
R143,52.196799mm,30.931193mm,Bottom,270.0
R107,64.524999mm,48.699993mm,Top,270.0
D108,59.674999mm,51.049993mm,Top,90.0
C233,85.700099mm,22.699993mm,Bottom,270.0
U107,63.199999mm,51.199993000000006mm,Top,90.0
U106,90.400099mm,54.199993000000006mm,Bottom,180.0
C134,60.999999mm,50.999993mm,Top,90.0
C126,88.500099mm,53.799993mm,Bottom,270.0
VD103,90.400099mm,36.324993mm,Bottom,90.0
VD102,90.600099mm,32.541693mm,Bottom,90.0
VD101,90.600099mm,28.758293000000002mm,Bottom,90.0
VD100,90.600099mm,24.974992999999998mm,Bottom,90.0
U109,90.69999899999999mm,24.599992999999998mm,Top,90.0
U108,90.69999899999999mm,28.499993mm,Top,90.0
U103,57.180099mm,37.624993mm,Bottom,270.0
U100,55.050099mm,44.700493mm,Top,90.0
U285,59.599999mm,25.799993mm,Top,0.0
U280,62.699999mm,25.799993mm,Top,180.0
U275,53.299999mm,25.799993mm,Top,0.0
U270,56.399999mm,25.799993mm,Top,180.0
U195,62.099999mm,30.049993mm,Top,90.0
U190,80.099999mm,28.149993000000002mm,Top,180.0
U185,54.999999mm,30.049993mm,Top,90.0
U180,74.299999mm,28.149993000000002mm,Top,180.0
U175,68.499999mm,28.149993000000002mm,Top,180.0
U170,85.89999900000001mm,28.149993000000002mm,Top,180.0
S101,91.099999mm,45.799993mm,Top,90.0
S100,91.099999mm,39.999993mm,Top,270.0
R140,89.800099mm,21.299993mm,Bottom,0.0
R111,52.299999mm,34.849993mm,Bottom,180.0
R112,52.299999mm,35.899992999999995mm,Bottom,180.0
R117,52.299999mm,41.149992999999995mm,Bottom,180.0
R115,52.299999mm,39.049993mm,Bottom,180.0
R116,52.299999mm,40.099993mm,Bottom,180.0
R114,52.299999mm,37.999993mm,Bottom,180.0
R113,52.299999mm,36.949993mm,Bottom,180.0
R110,52.299999mm,33.799993mm,Bottom,180.0
R120,88.69999899999999mm,43.899992999999995mm,Bottom,90.0
R100,52.000099mm,44.699993mm,Bottom,90.0
R258,87.200099mm,20.699993mm,Bottom,270.0
R255,51.999999mm,19.399993mm,Bottom,270.0
R256,87.200099mm,22.699993mm,Bottom,90.0
R254,51.999999mm,21.349992999999998mm,Top,270.0
R257,83.89999900000001mm,19.849993mm,Bottom,0.0
R245,79.100099mm,19.849993mm,Bottom,0.0
R236,74.300099mm,19.849993mm,Bottom,0.0
R227,69.499999mm,19.849993mm,Bottom,0.0
R209,59.899999mm,19.849993mm,Bottom,0.0
R200,55.100099mm,19.849993mm,Bottom,0.0
